ML,-1.4, MR,-0.18, Pitch,3.47, Yaw,100000025.62, Roll,-0.45, Distance,-0.03413, X,-0.03415, Y,0.00211, Angle,-0.11
ML,1.67, MR,1.52, Pitch,3.75, Yaw,100000026.01, Roll,-0.45, Distance,-0.03413, X,-0.03415, Y,0.00211, Angle,-0.11
ML,-0.58, MR,1.89, Pitch,3.57, Yaw,100000025.38, Roll,-0.46, Distance,-0.03333, X,-0.03334, Y,0.00211, Angle,0.28
ML,0.43, MR,2.11, Pitch,3.67, Yaw,100000025.27, Roll,-0.45, Distance,-0.03276, X,-0.03277, Y,0.00212, Angle,0.57
ML,1.54, MR,3.68, Pitch,3.74, Yaw,100000025.1, Roll,-0.46, Distance,-0.03276, X,-0.03277, Y,0.00212, Angle,0.57
ML,-1.34, MR,1.38, Pitch,3.58, Yaw,100000024.77, Roll,-0.46, Distance,-0.03081, X,-0.03082, Y,0.00215, Angle,0.97
ML,1.13, MR,1.14, Pitch,3.55, Yaw,100000025.51, Roll,-0.46, Distance,-0.03047, X,-0.03048, Y,0.00215, Angle,0.11
ML,-0.49, MR,1.06, Pitch,3.41, Yaw,100000025.44, Roll,-0.47, Distance,-0.03012, X,-0.03014, Y,0.00215, Angle,0.17
ML,-0.8, MR,-0.73, Pitch,3.47, Yaw,100000025.92, Roll,-0.46, Distance,-0.03001, X,-0.03002, Y,0.00215, Angle,-0.34
ML,0.32, MR,0.44, Pitch,3.61, Yaw,100000026.1, Roll,-0.45, Distance,-0.02978, X,-0.02979, Y,0.00215, Angle,-0.23
ML,-0.19, MR,0.84, Pitch,3.61, Yaw,100000026.06, Roll,-0.45, Distance,-0.02978, X,-0.02979, Y,0.00215, Angle,-0.34
ML,0.39, MR,0.84, Pitch,3.63, Yaw,100000026.06, Roll,-0.44, Distance,-0.02978, X,-0.02979, Y,0.00215, Angle,-0.34
ML,0.05, MR,1.4, Pitch,3.63, Yaw,100000025.93, Roll,-0.44, Distance,-0.02978, X,-0.02979, Y,0.00215, Angle,-0.34
ML,-0.07, MR,0.99, Pitch,3.65, Yaw,100000025.77, Roll,-0.44, Distance,-0.02921, X,-0.02922, Y,0.00214, Angle,-0.06
ML,1.24, MR,2.7, Pitch,3.73, Yaw,100000025.76, Roll,-0.44, Distance,-0.02909, X,-0.02911, Y,0.00214, Angle,0
ML,2.57, MR,3.69, Pitch,3.89, Yaw,100000025.71, Roll,-0.43, Distance,-0.02898, X,-0.02899, Y,0.00214, Angle,0.06
ML,0.42, MR,3.08, Pitch,3.67, Yaw,100000024.97, Roll,-0.44, Distance,-0.02737, X,-0.02739, Y,0.00216, Angle,0.85
ML,0.91, MR,4.78, Pitch,3.62, Yaw,100000024.5, Roll,-0.46, Distance,-0.02669, X,-0.0267, Y,0.00217, Angle,1.19
ML,3.12, MR,5.36, Pitch,3.88, Yaw,100000024.51, Roll,-0.45, Distance,-0.02669, X,-0.0267, Y,0.00217, Angle,1.19
ML,-1.44, MR,2.31, Pitch,3.6, Yaw,100000023.91, Roll,-0.44, Distance,-0.02382, X,-0.02384, Y,0.00225, Angle,1.82
ML,1.32, MR,3, Pitch,3.34, Yaw,100000024.64, Roll,-0.44, Distance,-0.02268, X,-0.02269, Y,0.00229, Angle,1.02
ML,0.42, MR,0.86, Pitch,3.24, Yaw,100000025.24, Roll,-0.44, Distance,-0.02279, X,-0.02281, Y,0.00229, Angle,0.4
ML,0.66, MR,1.63, Pitch,3.38, Yaw,100000025.52, Roll,-0.43, Distance,-0.02337, X,-0.02338, Y,0.00229, Angle,0.23
ML,0.22, MR,0.74, Pitch,3.5, Yaw,100000025.84, Roll,-0.42, Distance,-0.02382, X,-0.02384, Y,0.00229, Angle,-0.11
ML,0.7, MR,1.04, Pitch,3.63, Yaw,100000026.04, Roll,-0.41, Distance,-0.02405, X,-0.02407, Y,0.00229, Angle,-0.34
ML,0.32, MR,1.39, Pitch,3.62, Yaw,100000025.99, Roll,-0.41, Distance,-0.02382, X,-0.02384, Y,0.00229, Angle,-0.34
ML,1.3, MR,2.08, Pitch,3.74, Yaw,100000026.01, Roll,-0.4, Distance,-0.02359, X,-0.02361, Y,0.00229, Angle,-0.34
ML,0.11, MR,1.51, Pitch,3.72, Yaw,100000025.72, Roll,-0.39, Distance,-0.02233, X,-0.02235, Y,0.00229, Angle,0.06
ML,1.2, MR,2.43, Pitch,3.69, Yaw,100000025.89, Roll,-0.38, Distance,-0.02165, X,-0.02166, Y,0.00229, Angle,-0.06
ML,2.8, MR,3.23, Pitch,3.68, Yaw,100000026.17, Roll,-0.37, Distance,-0.02119, X,-0.02121, Y,0.00229, Angle,-0.28
ML,0.36, MR,2.26, Pitch,3.5, Yaw,100000025.68, Roll,-0.38, Distance,-0.02073, X,-0.02075, Y,0.00229, Angle,-0.17
ML,-0.08, MR,1.48, Pitch,3.53, Yaw,100000025.63, Roll,-0.38, Distance,-0.02039, X,-0.0204, Y,0.00229, Angle,0
ML,-0.17, MR,0.83, Pitch,3.61, Yaw,100000025.61, Roll,-0.37, Distance,-0.02004, X,-0.02006, Y,0.00229, Angle,0.17
ML,0.35, MR,2.26, Pitch,3.6, Yaw,100000025.55, Roll,-0.37, Distance,-0.01993, X,-0.01995, Y,0.00229, Angle,0.23
ML,0.69, MR,2.14, Pitch,3.66, Yaw,100000025.5, Roll,-0.36, Distance,-0.01993, X,-0.01995, Y,0.00229, Angle,0.23
ML,1.7, MR,3.16, Pitch,3.75, Yaw,100000025.51, Roll,-0.34, Distance,-0.01993, X,-0.01995, Y,0.00229, Angle,0.23
ML,2.45, MR,3.92, Pitch,3.86, Yaw,100000025.57, Roll,-0.33, Distance,-0.0197, X,-0.01972, Y,0.00229, Angle,0.11
ML,1.86, MR,1.28, Pitch,3.59, Yaw,100000026.31, Roll,-0.33, Distance,-0.01798, X,-0.018, Y,0.00228, Angle,-0.62
ML,0.17, MR,0.08, Pitch,3.31, Yaw,100000026.32, Roll,-0.32, Distance,-0.01638, X,-0.0164, Y,0.00226, Angle,-0.51
ML,-1.82, MR,0.02, Pitch,3.31, Yaw,100000026.11, Roll,-0.32, Distance,-0.01707, X,-0.01708, Y,0.00227, Angle,-0.51
ML,1.12, MR,0.16, Pitch,3.56, Yaw,100000026.6, Roll,-0.31, Distance,-0.01775, X,-0.01777, Y,0.00228, Angle,-0.85
ML,0.04, MR,0.65, Pitch,3.58, Yaw,100000026.61, Roll,-0.32, Distance,-0.01752, X,-0.01754, Y,0.00227, Angle,-0.85
ML,0.92, MR,0.95, Pitch,3.61, Yaw,100000026.62, Roll,-0.31, Distance,-0.01741, X,-0.01743, Y,0.00227, Angle,-0.91
ML,1.29, MR,1.53, Pitch,3.68, Yaw,100000026.62, Roll,-0.31, Distance,-0.01741, X,-0.01743, Y,0.00227, Angle,-0.91
ML,2.97, MR,3.19, Pitch,3.83, Yaw,100000026.61, Roll,-0.31, Distance,-0.01741, X,-0.01743, Y,0.00227, Angle,-0.91
ML,-0.47, MR,0.08, Pitch,3.51, Yaw,100000026.48, Roll,-0.32, Distance,-0.01489, X,-0.01491, Y,0.00224, Angle,-0.68
ML,-0.29, MR,0.53, Pitch,3.39, Yaw,100000026.33, Roll,-0.33, Distance,-0.0142, X,-0.01422, Y,0.00223, Angle,-0.57
ML,-0.03, MR,0.43, Pitch,3.45, Yaw,100000026.29, Roll,-0.34, Distance,-0.01466, X,-0.01468, Y,0.00223, Angle,-0.68
ML,-0.81, MR,-0.02, Pitch,3.46, Yaw,100000026.23, Roll,-0.34, Distance,-0.01455, X,-0.01456, Y,0.00223, Angle,-0.51
ML,-0.86, MR,-0.82, Pitch,3.51, Yaw,100000026.3, Roll,-0.35, Distance,-0.0142, X,-0.01422, Y,0.00223, Angle,-0.57
ML,-1.26, MR,-0.72, Pitch,3.53, Yaw,100000026.34, Roll,-0.34, Distance,-0.01432, X,-0.01433, Y,0.00223, Angle,-0.62
ML,1.26, MR,0.99, Pitch,3.68, Yaw,100000026.64, Roll,-0.33, Distance,-0.015, X,-0.01502, Y,0.00224, Angle,-0.97
ML,-0.27, MR,0.58, Pitch,3.54, Yaw,100000026.34, Roll,-0.33, Distance,-0.01455, X,-0.01456, Y,0.00223, Angle,-0.62
