ML,3.12, MR,5.36, Pitch,3.88, Distance,-0.02669, Angle,1.19
ML,-1.44, MR,2.31, Pitch,3.6, Distance,-0.02382, Angle,1.82
ML,1.32, MR,3, Pitch,3.34, Distance,-0.02268, Angle,1.02
ML,0.42, MR,0.86, Pitch,3.24, Distance,-0.02279, Angle,0.4
ML,0.66, MR,1.63, Pitch,3.38, Distance,-0.02337, Angle,0.23
ML,0.22, MR,0.74, Pitch,3.5, Distance,-0.02382, Angle,-0.11
ML,0.7, MR,1.04, Pitch,3.63, Distance,-0.02405, Angle,-0.34
ML,0.32, MR,1.39, Pitch,3.62, Distance,-0.02382, Angle,-0.34
ML,1.3, MR,2.08, Pitch,3.74, Distance,-0.02359, Angle,-0.34
ML,0.11, MR,1.51, Pitch,3.72, Distance,-0.02233, Angle,0.06
ML,1.2, MR,2.43, Pitch,3.69, Distance,-0.02165, Angle,-0.06
ML,2.8, MR,3.23, Pitch,3.68, Distance,-0.02119, Angle,-0.28
ML,0.36, MR,2.26, Pitch,3.5, Distance,-0.02073, Angle,-0.17
ML,-0.08, MR,1.48, Pitch,3.53, Distance,-0.02039, Angle,0
ML,-0.17, MR,0.83, Pitch,3.61, Distance,-0.02004, Angle,0.17
ML,0.35, MR,2.26, Pitch,3.6, Distance,-0.01993, Angle,0.23
ML,0.69, MR,2.14, Pitch,3.66, Distance,-0.01993, Angle,0.23
ML,1.7, MR,3.16, Pitch,3.75, Distance,-0.01993, Angle,0.23
ML,2.45, MR,3.92, Pitch,3.86, Distance,-0.0197, Angle,0.11
ML,1.86, MR,1.28, Pitch,3.59, Distance,-0.01798, Angle,-0.62
ML,0.17, MR,0.08, Pitch,3.31, Distance,-0.01638, Angle,-0.51
ML,-1.82, MR,0.02, Pitch,3.31, Distance,-0.01707, Angle,-0.51
ML,1.12, MR,0.16, Pitch,3.56, Distance,-0.01775, Angle,-0.85
ML,0.04, MR,0.65, Pitch,3.58, Distance,-0.01752, Angle,-0.85
ML,0.92, MR,0.95, Pitch,3.61, Distance,-0.01741, Angle,-0.91
ML,1.29, MR,1.53, Pitch,3.68, Distance,-0.01741, Angle,-0.91
ML,2.97, MR,3.19, Pitch,3.83, Distance,-0.01741, Angle,-0.91
ML,-0.47, MR,0.08, Pitch,3.51, Distance,-0.01489, Angle,-0.68
ML,-0.29, MR,0.53, Pitch,3.39, Distance,-0.0142, Angle,-0.57
ML,-0.03, MR,0.43, Pitch,3.45, Distance,-0.01466, Angle,-0.68
ML,-0.81, MR,-0.02, Pitch,3.46, Distance,-0.01455, Angle,-0.51
ML,-0.86, MR,-0.82, Pitch,3.51, Distance,-0.0142, Angle,-0.57
ML,-1.26, MR,-0.72, Pitch,3.53, Distance,-0.01432, Angle,-0.62
ML,1.26, MR,0.99, Pitch,3.68, Distance,-0.015, Angle,-0.97
ML,-0.27, MR,0.58, Pitch,3.54, Distance,-0.01455, Angle,-0.62
ML,0.35, MR,0.39, Pitch,3.57, Distance,-0.01512, Angle,-0.8
ML,1.24, MR,0.81, Pitch,3.69, Distance,-0.015, Angle,-0.97
ML,1.92, MR,1.92, Pitch,3.77, Distance,-0.015, Angle,-0.97
ML,0.79, MR,1.28, Pitch,3.74, Distance,-0.01397, Angle,-0.45
ML,0.09, MR,2.45, Pitch,3.49, Distance,-0.01306, Angle,-0.11
ML,0.59, MR,0.11, Pitch,3.42, Distance,-0.01317, Angle,-0.51
ML,-0.53, MR,-0.45, Pitch,3.49, Distance,-0.01363, Angle,-0.62
ML,-0.87, MR,-0.58, Pitch,3.47, Distance,-0.01374, Angle,-0.68
ML,-0.66, MR,-1.41, Pitch,3.54, Distance,-0.01409, Angle,-0.85
ML,0.04, MR,-0.56, Pitch,3.63, Distance,-0.015, Angle,-1.19
ML,-0.01, MR,-0.63, Pitch,3.6, Distance,-0.01523, Angle,-1.31
ML,0.07, MR,-0.7, Pitch,3.63, Distance,-0.01546, Angle,-1.42
ML,0.03, MR,-0.71, Pitch,3.62, Distance,-0.01535, Angle,-1.36
ML,0.49, MR,0.19, Pitch,3.66, Distance,-0.015, Angle,-1.42
ML,-0.6, MR,-0.82, Pitch,3.53, Distance,-0.01478, Angle,-1.19
ML,0.01, MR,-0.29, Pitch,3.58, Distance,-0.01466, Angle,-1.14
ML,0.34, MR,-0.1, Pitch,3.65, Distance,-0.01466, Angle,-1.14
ML,1.21, MR,0.58, Pitch,3.72, Distance,-0.01443, Angle,-1.25
ML,2.63, MR,1.92, Pitch,3.84, Distance,-0.01432, Angle,-1.19
ML,-0.27, MR,1.16, Pitch,3.56, Distance,-0.01283, Angle,-0.45
ML,0.54, MR,1.45, Pitch,3.57, Distance,-0.0126, Angle,-0.23
ML,-0.51, MR,-0.01, Pitch,3.57, Distance,-0.01191, Angle,0
ML,0.93, MR,2.18, Pitch,3.67, Distance,-0.0118, Angle,0.06
ML,0.25, MR,1.78, Pitch,3.59, Distance,-0.01088, Angle,0.51
ML,1.18, MR,2.67, Pitch,3.69, Distance,-0.01042, Angle,0.74
ML,-0.12, MR,2.91, Pitch,3.57, Distance,-0.00939, Angle,1.25
ML,1.94, MR,4.26, Pitch,3.8, Distance,-0.00893, Angle,1.48
ML,0.96, MR,5.36, Pitch,3.67, Distance,-0.00699, Angle,2.33
ML,-0.07, MR,2.44, Pitch,3.36, Distance,-0.00447, Angle,1.76
ML,1.17, MR,1.56, Pitch,3.4, Distance,-0.00401, Angle,0.85
ML,2.56, MR,3.53, Pitch,3.66, Distance,-0.00367, Angle,1.02
ML,-1.29, MR,2.43, Pitch,3.4, Distance,-0.00149, Angle,1.53
ML,-0.05, MR,0.28, Pitch,3.35, Distance,-0.00034, Angle,0.74
ML,-0.54, MR,0.49, Pitch,3.32, Distance,0.00023, Angle,0.68
ML,-0.43, MR,1.24, Pitch,3.48, Distance,-0.00011, Angle,0.51
ML,-0.24, MR,1.5, Pitch,3.52, Distance,0.00069, Angle,0.8
ML,1.48, MR,3.46, Pitch,3.63, Distance,0.0008, Angle,0.85
ML,3.57, MR,5.35, Pitch,3.86, Distance,0.0008, Angle,0.85
ML,-0.57, MR,0.88, Pitch,3.54, Distance,0.00355, Angle,0.63
ML,0.53, MR,0.68, Pitch,3.34, Distance,0.00515, Angle,0.4
ML,0.01, MR,1.36, Pitch,3.23, Distance,0.0055, Angle,0.34
ML,-0.51, MR,0.73, Pitch,3.31, Distance,0.00527, Angle,0.23
ML,0.85, MR,1.25, Pitch,3.54, Distance,0.00515, Angle,0.06
ML,0.03, MR,2.02, Pitch,3.43, Distance,0.00561, Angle,0.28
ML,0.33, MR,1.64, Pitch,3.5, Distance,0.00573, Angle,0.34
ML,0.71, MR,2.2, Pitch,3.57, Distance,0.00596, Angle,0.45
ML,0.61, MR,2.68, Pitch,3.52, Distance,0.0063, Angle,0.63
ML,-0.42, MR,1.72, Pitch,3.45, Distance,0.00676, Angle,0.85
ML,0.48, MR,2.81, Pitch,3.53, Distance,0.00676, Angle,0.85
ML,-0.19, MR,1.99, Pitch,3.5, Distance,0.00744, Angle,1.19
ML,0.81, MR,3.57, Pitch,3.56, Distance,0.00756, Angle,1.25
ML,1.95, MR,4.29, Pitch,3.69, Distance,0.00756, Angle,1.25
ML,4.1, MR,6.46, Pitch,3.88, Distance,0.00756, Angle,1.25
ML,-1.84, MR,0.2, Pitch,3.3, Distance,0.01077, Angle,1.02
ML,0.8, MR,1.05, Pitch,3.23, Distance,0.01134, Angle,0.51
ML,-0.5, MR,0.77, Pitch,3.14, Distance,0.011, Angle,0
ML,-1.86, MR,-1.55, Pitch,3.18, Distance,0.01077, Angle,0
ML,0.51, MR,1.1, Pitch,3.47, Distance,0.00882, Angle,-0.4
ML,0.53, MR,0.1, Pitch,3.59, Distance,0.0087, Angle,-0.57
ML,0.11, MR,1.26, Pitch,3.52, Distance,0.00882, Angle,-0.63
ML,1.67, MR,1.49, Pitch,3.61, Distance,0.00893, Angle,-0.68
